id,reference_text,predicted_text,norm_reference_text,norm_predicted_text,wer,wil,substitutions,deletions,insertions,hits,audio_duration,transcription_time,metadata_uuid,model,dataset,dataset_split,engine
15,"זה לא שהיא לא קיימת, היא קיימת, אבל בהרבה פעמים היא מאוד מאוד נזילה."," זה לא שהיא לא קיימת, היא קיימת, אבל בהרבה פעמים היא מאוד מאוד נזילה.",זה לא שהיא לא קיימת היא קיימת אבל בהרבה פעמים היא מאוד מאוד נזילה,זה לא שהיא לא קיימת היא קיימת אבל בהרבה פעמים היא מאוד מאוד נזילה,0.0,0.0,0,0,0,14,5.1459863945578235,2.5425281659991015,gold_000_line_015,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
16,כשאני אומר נזילה אני מתכוון לזה שבסופו של דבר,כשאני אומר מזילה אני מתכוון לזה שבסופו של דבר,כשאני אומר נזילה אני מתכוון לזה שבסופו של דבר,כשאני אומר מזילה אני מתכוון לזה שבסופו של דבר,0.1111111111111111,0.2098765432098766,1,0,0,8,2.68,2.387642459001654,gold_000_line_016,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
17,"המפרסמים הגדולים, הם גם האנשים שכותבים עליהם.",המפרסמים הגדולים הם גם האנשים שכותבים עליהם.,המפרסמים הגדולים הם גם האנשים שכותבים עליהם,המפרסמים הגדולים הם גם האנשים שכותבים עליהם,0.0,0.0,0,0,0,7,4.48,2.411174791999656,gold_000_line_017,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
18,"הם הבעלי עסקים הגדולים, הם בעלי החברות הגדולות, הם המנכ""לים, והרבה פעמים הם פשוט ירימו את הטלפון הזה,"," הם בעלי העסקים הגדולים, הם בעלי החברות הגדולות, הם המנכ״לים, והרבה פעמים הם פשוט ירימו את הטלפון הזה.",הם הבעלי עסקים הגדולים הם בעלי החברות הגדולות הם המנכלים והרבה פעמים הם פשוט ירימו את הטלפון הזה,הם בעלי העסקים הגדולים הם בעלי החברות הגדולות הם המנכ לים והרבה פעמים הם פשוט ירימו את הטלפון הזה,0.2222222222222222,0.3421052631578947,3,0,1,15,8.31,4.43865208400166,gold_000_line_018,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
19,"והם לא דווקא ירימו את הטלפון הזה לבן אדם במערכת שאחראי על המודעות,",והם לאו דווקא ירימו את הטלפון הזה לבן אדם במערכת שאחראי על המודעות.,והם לא דווקא ירימו את הטלפון הזה לבן אדם במערכת שאחראי על המודעות,והם לאו דווקא ירימו את הטלפון הזה לבן אדם במערכת שאחראי על המודעות,0.07692307692307693,0.1479289940828401,1,0,0,12,5.7740136054421765,2.906450959002541,gold_000_line_019,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
20,"אלא הם הרבה פעמים ירימו את הטלפון הזה למוציא לאור,",אלא הם הרבה פעמים ירימו את הטלפון הזה למוציא לאור.,אלא הם הרבה פעמים ירימו את הטלפון הזה למוציא לאור,אלא הם הרבה פעמים ירימו את הטלפון הזה למוציא לאור,0.0,0.0,0,0,0,10,4.492993197278912,2.2269151670006977,gold_000_line_020,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
21,"או לעורך או לעורכת, הרבה מעל הראש של הכתב,"," או לעורך או לעורכת, הרבה מעל הראש של הכתב.",או לעורך או לעורכת הרבה מעל הראש של הכתב,או לעורך או לעורכת הרבה מעל הראש של הכתב,0.0,0.0,0,0,0,9,3.64,1.9234499589983898,gold_000_line_021,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
22,"ואי-, או יגידו בעדינות, או ירמזו בפחות עדינות, ויזכירו שיש איזה שיתוף פעולה מסחרי שאמור לקרות בקרוב, איזה כנס,"," ואו יגידו בעדינות או ירמזו בפחות עדינות ויזכירו שיש איזה שיתוף פעולה מסחרי שאמור לקרות בקרוב, איזה כנס.",ואי או יגידו בעדינות או ירמזו בפחות עדינות ויזכירו שיש איזה שיתוף פעולה מסחרי שאמור לקרות בקרוב איזה כנס,ואו יגידו בעדינות או ירמזו בפחות עדינות ויזכירו שיש איזה שיתוף פעולה מסחרי שאמור לקרות בקרוב איזה כנס,0.10526315789473684,0.1549707602339181,1,1,0,17,10.667006802721088,4.807058333000896,gold_000_line_022,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
23,"איזה, אני לא יודע, מה תוכן שיווקי אחר, איזשהו צ'ק מאוד גדול שהם שמו, כי זה לא תמיד רק מודעות."," איזה, אני לא יודע מה תוכן שיווקי אחר, איזשהו צ'ק מאוד גדול שהם שמו, כי זה לא תמיד רק מודעות.",איזה אני לא יודע מה תוכן שיווקי אחר איזשהו צק מאוד גדול שהם שמו כי זה לא תמיד רק מודעות,איזה אני לא יודע מה תוכן שיווקי אחר איזשהו צק מאוד גדול שהם שמו כי זה לא תמיד רק מודעות,0.0,0.0,0,0,0,20,5.55,3.489921542000957,gold_000_line_023,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
24,"אה, ורמז רמז, עדיף שהכתבה הזו לא תופיע,",ורמז רמז עדיף שהכתבה הזו לא תופיע.,אה ורמז רמז עדיף שהכתבה הזו לא תופיע,ורמז רמז עדיף שהכתבה הזו לא תופיע,0.125,0.125,0,1,0,7,5.08,1.9371860409992223,gold_000_line_024,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
25,"או תרוכך, או תעבור לאיזה עמוד אחורי, או איזשהו משהו כזה."," או תרוכך, או תעבור לאיזה עמוד אחורי או איזה שהוא משהו כזה.",או תרוכך או תעבור לאיזה עמוד אחורי או איזשהו משהו כזה,או תרוכך או תעבור לאיזה עמוד אחורי או איזה שהוא משהו כזה,0.18181818181818182,0.24242424242424243,1,0,1,10,4.0,2.1005998339969665,gold_000_line_025,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
26,הדברים האלה קורים…,הדברים האלה קורים.,הדברים האלה קורים,הדברים האלה קורים,0.0,0.0,0,0,0,3,1.7329931972789117,0.7755409170022176,gold_000_line_026,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
27,"ואגב, בתעשייה, זאת אומרת, בכל פעם שאני הולך, אהמ… אני כבר ארבע, כן, ארבע שנים, חמש שנים, לא יודע כמה כבר בגוף שידור"," ואגב, בתעשייה, זאת אומרת, בכל פעם שאני הולך, אנחנו, את יודעת, אני כבר ארבע, כן, ארבע שנים, חמש שנים, לא יודע כמה כבר, בגוף שידור.",ואגב בתעשייה זאת אומרת בכל פעם שאני הולך אהמ אני כבר ארבע כן ארבע שנים חמש שנים לא יודע כמה כבר בגוף שידור,ואגב בתעשייה זאת אומרת בכל פעם שאני הולך אנחנו את יודעת אני כבר ארבע כן ארבע שנים חמש שנים לא יודע כמה כבר בגוף שידור,0.13043478260869565,0.15826086956521734,1,0,2,22,7.065986394557823,4.6031883750001725,gold_000_line_027,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
28,"ציבורי שא-אין בו בעצם, אה, פרסומות, ולכן,",ציבורי שאין בו בעצם פרסומות ולכן...,ציבורי שא אין בו בעצם אה פרסומות ולכן,ציבורי שאין בו בעצם פרסומות ולכן,0.375,0.47916666666666663,1,2,0,5,3.3760090702947845,1.8131196670001373,gold_000_line_028,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
29,"אצלנו הלחצים האלה, אה, אה, לא קיימים, או שאני לא ראיתי אותם מעולם."," אצלנו הלחצים האלה לא קיימים, או שאני לא ראיתי אותם מעולם.",אצלנו הלחצים האלה אה אה לא קיימים או שאני לא ראיתי אותם מעולם,אצלנו הלחצים האלה לא קיימים או שאני לא ראיתי אותם מעולם,0.15384615384615385,0.15384615384615385,0,2,0,11,3.854013605442177,2.478185667001526,gold_000_line_029,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
30,"ובכל מקום שאני הולך אליו ונפגש עם אנשים, מנכ""לים, מנכ""ליות של כל מיני גופים גדולים,"," ובכל מקום שאני הולך אליו אני נפגש עם אנשים, מנכ״לים, מנכ״ליות של כל מיני גופים גדולים.",ובכל מקום שאני הולך אליו ונפגש עם אנשים מנכלים מנכליות של כל מיני גופים גדולים,ובכל מקום שאני הולך אליו אני נפגש עם אנשים מנכ לים מנכ ליות של כל מיני גופים גדולים,0.4,0.4666666666666667,3,0,3,12,4.680022675736962,3.3433262079997803,gold_000_line_030,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
31,הם כולם יודעים שזה קיים.,הם כולם יודעים שזה קיים.,הם כולם יודעים שזה קיים,הם כולם יודעים שזה קיים,0.0,0.0,0,0,0,5,2.1070068027210884,1.2233964579972962,gold_000_line_031,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
32,"הם כולם יודעים שזה קיים, לא אצלנו, אלא בכלל בתעשייה הזאת, כי הם שמים את הצ'קים האלה."," הם כולם יודעים שזה קיים, לא אצלנו, אלא בכלל בתעשייה הזאת, כי הם שמים את הצ'קים האלה.",הם כולם יודעים שזה קיים לא אצלנו אלא בכלל בתעשייה הזאת כי הם שמים את הצקים האלה,הם כולם יודעים שזה קיים לא אצלנו אלא בכלל בתעשייה הזאת כי הם שמים את הצקים האלה,0.0,0.0,0,0,0,17,5.295986394557823,3.1699839169996267,gold_000_line_032,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
33,"וחלק מהכסף הזה, חלק מהכסף שהולך לכנסים ותוכן שיווקי,"," וחלק מהכסף הזה, חלק מהכסף שהולך לכנסים ותוכן שיווקי...",וחלק מהכסף הזה חלק מהכסף שהולך לכנסים ותוכן שיווקי,וחלק מהכסף הזה חלק מהכסף שהולך לכנסים ותוכן שיווקי,0.0,0.0,0,0,0,9,3.8670068027210887,2.1106013749995327,gold_000_line_033,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
34,"זה באמת כסף תמים שהולך לתוכן שיווקי, כן? ניסיון לקדם את ה-אה, מותג שלהם."," זה באמת כסף תמים שהולך לתוכן שיווקי, כן? ניסיון לקדם את המותג שלהם.",זה באמת כסף תמים שהולך לתוכן שיווקי כן ניסיון לקדם את ה אה מותג שלהם,זה באמת כסף תמים שהולך לתוכן שיווקי כן ניסיון לקדם את המותג שלהם,0.2,0.2615384615384615,1,2,0,12,4.72,2.78072554100072,gold_000_line_034,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
35,"אבל חלק מזה, זה גם מעבר לזה. זאת אומרת, הם יודעים שאם המתחרה שלהם,"," אבל חלק מזה זה גם מעבר לזה, זאת אומרת, הם יודעים שאם המתחרה שלהם...",אבל חלק מזה זה גם מעבר לזה זאת אומרת הם יודעים שאם המתחרה שלהם,אבל חלק מזה זה גם מעבר לזה זאת אומרת הם יודעים שאם המתחרה שלהם,0.0,0.0,0,0,0,14,3.4259863945578233,2.201293042002362,gold_000_line_035,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
36,"לא משנה עכשיו, זה בנק, חברת ביטוח, וואטאבר, שם איזשהו צ'ק של מיליון שקל,"," לא משנה עכשיו, זה בנק, חברת ביטוח, וואטאבר, שם איזשהו צ'ק של מיליון שקל.",לא משנה עכשיו זה בנק חברת ביטוח וואטאבר שם איזשהו צק של מיליון שקל,לא משנה עכשיו זה בנק חברת ביטוח וואטאבר שם איזשהו צק של מיליון שקל,0.0,0.0,0,0,0,14,4.947006802721089,3.0759544590000587,gold_000_line_036,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
37,"על שיתוף פעולה עם איזשהו עיתון או טלוויזיה, כי ראינו את הכנסים האלה קורים גם בטלוויזיות."," על שיתוף פעולה עם איזשהו עיתון או טלוויזיה, כי ראינו את הכנסים האלה קורים גם בטלוויזיות.",על שיתוף פעולה עם איזשהו עיתון או טלוויזיה כי ראינו את הכנסים האלה קורים גם בטלוויזיות,על שיתוף פעולה עם איזשהו עיתון או טלוויזיה כי ראינו את הכנסים האלה קורים גם בטלוויזיות,0.0,0.0,0,0,0,16,6.052993197278911,3.4522399580018828,gold_000_line_037,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
38,"אז, אם הם יודעים שהמתחרים שלהם עשו את זה, הם מבינים, גם בלי שמישהו יגיד,"," אז אם הם יודעים שהמתחרים שלהם עשו את זה, הם מבינים, גם בלי שמישהו יגיד.",אז אם הם יודעים שהמתחרים שלהם עשו את זה הם מבינים גם בלי שמישהו יגיד,אז אם הם יודעים שהמתחרים שלהם עשו את זה הם מבינים גם בלי שמישהו יגיד,0.0,0.0,0,0,0,15,5.6670068027210885,3.454842249997455,gold_000_line_038,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
39,"שלמתחרים שלהם יש איזשהו מנוף קטן,",שלמתחרים שלהם יש איזשהו מנוף קטן.,שלמתחרים שלהם יש איזשהו מנוף קטן,שלמתחרים שלהם יש איזשהו מנוף קטן,0.0,0.0,0,0,0,6,2.88,1.927560000000085,gold_000_line_039,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
40,"על אותו כלי תקשורת, ולכן כדאי גם להם",על אותו כלי תקשורת ולכן כדאי גם להם.,על אותו כלי תקשורת ולכן כדאי גם להם,על אותו כלי תקשורת ולכן כדאי גם להם,0.0,0.0,0,0,0,8,2.814013605442177,1.9459305830023368,gold_000_line_040,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
41,"לעשות איזשהו שיתוף פעולה מסחרי. שוב, גם"," לעשות איזשהו שיתוף פעולה מסחרי. שוב, גם...",לעשות איזשהו שיתוף פעולה מסחרי שוב גם,לעשות איזשהו שיתוף פעולה מסחרי שוב גם,0.0,0.0,0,0,0,7,3.2359863945578233,1.9742452499995125,gold_000_line_041,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
42,"מהטעם הזה שהם רוצים לקדם את המותג שלהם, את השירות שלהם, את המוצר שלהם, מה שזה לא יהיה,"," מהטעם הזה שהם רוצים לקדם את המותג שלהם, את השירות שלהם, את המוצר שלהם, מה שזה לא יהיה.",מהטעם הזה שהם רוצים לקדם את המותג שלהם את השירות שלהם את המוצר שלהם מה שזה לא יהיה,מהטעם הזה שהם רוצים לקדם את המותג שלהם את השירות שלהם את המוצר שלהם מה שזה לא יהיה,0.0,0.0,0,0,0,18,3.96,3.2913076670010923,gold_000_line_042,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
43,"אבל גם מהטעם הזה, שכדאי להישאר חברים של כלי התקשורת.",אבל גם מהטעם הזה שכדאי להישאר חברים של כלי התקשורת.,אבל גם מהטעם הזה שכדאי להישאר חברים של כלי התקשורת,אבל גם מהטעם הזה שכדאי להישאר חברים של כלי התקשורת,0.0,0.0,0,0,0,10,3.105986394557823,2.2441627500011236,gold_000_line_043,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
44,"ל-, לא רק שאין קשר, הם מתחרים. נוני מוזס יושב על"," לא רק שאין קשר, הם מתחרים. נוני מוזס יושב על...",ל לא רק שאין קשר הם מתחרים נוני מוזס יושב על,לא רק שאין קשר הם מתחרים נוני מוזס יושב על,0.09090909090909091,0.09090909090909094,0,1,0,10,3.4,2.0494220000000496,gold_000_line_044,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
45,"וואי נט, ו-אה, אלוביץ' שולט ב-אה, בוואלה, אלה שני אתרים, ב-, ב-, את יודעת, שנמצאת בתחרות מטורפת,"," ויינט, ואלוביץ' שולט בוואלה, אלה שני אתרים, את יודעת, שנמצאים בתחרות מטורפת.",וואי נט ו אה אלוביץ שולט ב אה בוואלה אלה שני אתרים ב ב את יודעת שנמצאת בתחרות מטורפת,ויינט ואלוביץ שולט בוואלה אלה שני אתרים את יודעת שנמצאים בתחרות מטורפת,0.5263157894736842,0.6447368421052632,3,7,0,9,7.665986394557823,3.629232499999489,gold_000_line_045,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
46,"והנה הבעלים שלך, אהמ, אומר, עזוב, אל תיגע במתחרה שלי, אני, אני, אני לא רוצה שהוא יכעס, לא, לא רוצה שהוא…"," והנה הבעלים של אחד מהם אומר, עזוב, אל תיגע במתחרה שלי, אני לא רוצה שהוא יכעס, אני לא רוצה שהוא...",והנה הבעלים שלך אהמ אומר עזוב אל תיגע במתחרה שלי אני אני אני לא רוצה שהוא יכעס לא לא רוצה שהוא,והנה הבעלים של אחד מהם אומר עזוב אל תיגע במתחרה שלי אני לא רוצה שהוא יכעס אני לא רוצה שהוא,0.2857142857142857,0.3904761904761904,3,2,1,16,6.652993197278912,3.2932039580009587,gold_000_line_046,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
47,"לא רוצה שהוא יהיה כועס מדי. זה-, זה הזוי, זה מצב הזוי לחלוטין."," לא רוצה שיהיה כועס מדי, זה הזוי, זה מצב הזוי לחלוטין.",לא רוצה שהוא יהיה כועס מדי זה זה הזוי זה מצב הזוי לחלוטין,לא רוצה שיהיה כועס מדי זה הזוי זה מצב הזוי לחלוטין,0.23076923076923078,0.30069930069930073,1,2,0,10,3.4529931972789116,2.0695494999999937,gold_000_line_047,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
48,"כן, חד משמעית כן. אז אז, בואי נדבר על זה, כי זה סיפור די מדהים."," כן, חד משמעית כן. אז בואי נדבר על זה, כי זה סיפור די מדהים.",כן חד משמעית כן אז אז בואי נדבר על זה כי זה סיפור די מדהים,כן חד משמעית כן אז בואי נדבר על זה כי זה סיפור די מדהים,0.06666666666666667,0.06666666666666665,0,1,0,14,4.28,2.260617040999932,gold_000_line_048,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
